Article ID,Article Title,User Name,Resolve?,Include,Search Engine,Exclusion stage,Reason for exclusion,Details of reason for exclusion if other,Article Topic: notes,Year of publication,Country of Primary Author,Study Location Name,Study Country,Study Location Coordinates (Decimal Degrees),Study length (years),Starting year of data collection,Number of study species,Species family,Species Latin Name(s),Conservation status(es),Sample size (individuals),Sample size (colonies),Sample size (other),Research Focus,Research Focus if other or additional details,Source of seabird location information.,Source of seabird location information if other,Tracking accuracy (m),Temporal resolution of tracking data, Type of remote sensing,Type of remote sensing if other,Repository (website) source of remotely sensed data,Satellite Source/Space Agency,Satellite platform for remote sensing data,Satellite sensor used,Satellite Product/Environmental Variables,Derived metrics,Non-SRS environmental variables ,Temporal Resolution of SRS (days),Spatial resolution of SRS (mxm),Satellite imagery processing/analysis software,Was satellite data verified? How?,Details of how satellite data was verified if Other,Do/How do authors account for or discuss temporal variation in environment?,Analytical method for linking movement and environment,Do the authors make or discuss specific predicted changes in seabird ecology,Link to policy or conservation,Additional notes,User Note,Title,Journal,Authors
8566737,Environmental heterogeneity decreases reproductive success via effects on foraging behaviour,hannah.1.wood,,TRUE, WOS,,,,Environmental heterogeneity,2019,UK,various in UK,UK,,7 (Seabird data),2010 (seabird data),1,,Rissa tridactyla,,415,15,,Foraging Location/Distribution;;; Other,Also reproductive success,Satellite tag/GPS tag,,NI,NI, Satellite,,NI,NI,NI,NI,SST,potential tidal stratification;;;ocean front strength;;;ocean front distance;;;ocean front persistence,Bathymetry,NI,NI,NI, Not Included,,"Calculate a measure of environmental heterogeneity within each year. Paper is about heterogeneity in the environment but mostly focused  on spatial variation rather than temporal, although doesn't give details of spatial resolution. State that the  degree of heterogeneity remains constant over time, but  not the extent of the heterogeneity between years.",linear regressions,NI,NI,,,Environmental heterogeneity decreases reproductive success via effects on foraging behaviour,Proc. R. Soc. B-Biol. Sci.,"Trevail, Alice M.; Green, Jonathan A.; Sharples, Jonathan; Polton, Jeff A.; Miller, Peter I.; Daunt, Francis; Owen, Ellie; Bolton, Mark; Colhoun, Kendrew; Newton, Stephen; Robertson, Gail; Patrick, Samantha C."
8566738,"Biogeography of the Oceans: a Review of Development of Knowledge of Currents, Fronts and Regional Boundaries from Sailing Ships in the Sixteenth Century to Satellite Remote Sensing",hannah.1.wood,,FALSE, WOS,Title/Abstract, Not about seabird ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Biogeography of the Oceans: a Review of Development of Knowledge of Currents, Fronts and Regional Boundaries from Sailing Ships in the Sixteenth Century to Satellite Remote Sensing",Pure Appl. Geophys.,"Priede, Imants G."
8566739,Airborne Remote Sensing of a Biological Hot Spot in the Southeastern Bering Sea,hannah.1.wood,,TRUE, WOS,,,,,2011,USA,"Bering  Canyon, Aleutian  Islands, Southeastern Bering Sea",USA,,1,2005,,Procellariidae,Puffinus  tenuirostris,,,,11 aerial surveys,Foraging Location/Distribution,hotspot identification, Other,aerial survey,500,1 day,,,"Alaska SAR Facility at the University of Alaska,;;;http://www.wunderground.com/ (wind  speed  data);;;http://tidesandcurrents.noaa.gov/ ( local  tide  height)",NI,RADARSAT-1  satellite;;;twin-engine  aircraft  (aerial);;;Ship based acoustics,"SAR synthetic aperture radar (SRS);;;non-scanning, radiometric Lidar (aerial);;;38-kHz  splitbeam  echosounder  (SimradEK60echosounder with ES38-12 transducer (acoustics)","SAR images of the ocean surface showvariations in radar reflectivity primarily caused bychanges in sea surface roughness;;;Lidar images showing backscattering/reflection/scattering from particles, fish, plankton etc;;;Acoustic volume backscatter and backscatter  Coefficien;;;wind speed;;;tide height","length,  depth,  and  thickness  of  each  fish/plankton school from backscattering (aerial lidar);;;100m bins of an  index  of combined plankton and fish density (acoustics);;;mean wind speed, wind mixing, mean direction;;;tidal flux",,1 hour (wind  speed  data);;;6 minute ( local  tide  height),5  (aerial);;;1 (acoustic),"software available from the Alaska SAR Facility at the University of Alaska,", In situ measurements,Aerial observations and surface-vessel  measurements made at the same time,NI,Pearson  correlation  coefficients  (r)and  significance  levels  (p)  were  estimatedusinga  two-sided Student‘s ttest;;;The Bonferroni correction for multiple hypothesis tests reduces the threshold significance level by the number of hypotheses,NI,NI,"Aerial lidar of foraging events analysed in conjusnction with observed seabird aggregations, hotspots identified in SRS imagery.",,Airborne Remote Sensing of a Biological Hot Spot in the Southeastern Bering Sea,Remote Sens.,"Churnside, James H.; Brown, Evelyn D.; Parker-Stetter, Sandra; Horne, John K.; Hunt, George L.; Hillgruber, Nicola; Sigler, Michael F.; Vollenweider, Johanna J."
8566740,"Evaluation of an unmanned rotorcraft to monitor wintering waterbirds and coastal habitats in British Columbia, Canada",hannah.1.wood,,TRUE, WOS,,,,rotorcraft for bird monitoring,2015,Canada,"Vancouver, British Columbia",Canada,"9°03′N,123°09′W and 49°25′N, 123°38′W",1,2015,,,Larus glaucescens;;;Larus canus;;;Pluvialis squatarola;;;Larus delawarensis;;;Calidris  alpina;;;Anas  platyrhynchos;;;Anas crecca;;;Anas Americana;;;Anas acuta;;;Brachyramphus marmoratus,,">18,000",,"2 survey locations, 3490 photos", Other,Methods paper, Other,Aerial survey with drone,NI,,,,,"esponder UAS (ING Robotic Aviation,Ottawa, Ont.) drone helicopter",GPS-enabled Nikon D800E 36 megapixel camera,,Photographs,,,,,Sibley (2000),,,NI,NI,NI,NI,,,"Evaluation of an unmanned rotorcraft to monitor wintering waterbirds and coastal habitats in British Columbia, Canada",J. Unmanned Veh. Syst.,"Drever, Mark C.; Chabot, Dominique; O'Hara, Patrick D.; Thomas, Jeffrey D.; Breault, Andre; Millikin, Rhonda L."
8566741,Remote sensing visualization and quantification of ammonia emission from an inland seabird colony,hannah.1.wood,,FALSE, WOS, Main Body, Not about use of satellite remote sensing for studying seabird ecology,,Using aerial surveys to quantify ammonia emission from seabird colonies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Remote sensing visualization and quantification of ammonia emission from an inland seabird colony,J. Appl. Remote Sens.,"Tratt, David M.; Buckland, Kerry N.; Young, Stephen J.; Johnson, Patrick D.; Riesz, Karen A.; Molina, Kathy C."
8566742,An adaptive method for identifying marine areas of high conservation priority,hannah.1.wood,,TRUE, WOS,,,,Idenitifying areas for protection based on birds vs economic/fishing areas,2018,Spain,"Pen ́ınsula Vald ́es to Tierra del Fuego, Patagonia",Argentina,41.5–55.5°S,3 (seabird data);;;20 (Chl);;;20 (current dynamics),1993 (Seabird);;;1993 (current dynamics);;;1998  (Chl),13,,Spheniscus magellanicus;;;Macronectes giganteus;;;Phalacrocorax atriceps;;;Phalacrocorax gaimardi;;;Phalacrocorax olivaceus;;;Larus dominicanus;;;Leucophaeus scoresbii;;;Larus atlanticus;;;Sterna hirundinacea;;;Thalasseus sandvicensis eurygnatha;;;Thalasseus maximus;;;Stercorarius antarcticus;;;Stercorarius chilensis;;;Phalacrocorax magellanicus,Near Threatened;;;Least Concern;;;Least Concern;;;Near Threatened;;;Least Concern;;;Least Concern;;;Least Concern;;;Near Threatened;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern,"2,225,000",,,Foraging Location/Distribution,, Other combined methods,Census/survey of breeding colony numbers combined with GPS data to create distance-dependent distribution of occurrence probabilities that we trans-formed into number of individuals by considering population size at colon,NI,NI,,,"www.myocean.eu,;;;NASA Ocean Color Service [http://oceancolor.gsfc.nasa.gov/]",Copernicus: Marine environment monitoring service (current dynamics);;;NASA (Chl),lobal oceanphysics reanalysis models (Glorys) 2 (version 3 1993–2012) (current dynamics);;;NI (Chl),NI (current dynamics);;;SeaWifs and MODIS (Chl),water speed and direction (current dynamics);;;chlorophyll-a concentration (Chl),"mean water speed and direction in the upper layers (14m) for the seabird breeding season (6 months);;;highlyproductive pixels for each summer season as those withCHL values within the upper quartile (75th percentile) (Chl);;;Persistence: Following Louzao et al. (2012), thepersistence of ocean features was quantified by countingthe number of years in which each pixel was assigned tothe highly productive category (range 0–20 years corre-sponding to the CHL time series).",,30 (current dynamics);;;ustral summer seasonal composites (Chl),0.25 degrees (current dynamics);;;9000x9000 (Chl),"R (R Core Team 2013);;;ArcGIS 10.2(ESRI, Redlands, California, U.S.A.)", Not Included,,"Following Louzao et al. (2012), thepersistence of ocean features was quantified by countingthe number of years in which each pixel was assigned tothe highly productive category (range 0–20 years corresponding to the CHL time series).",Visual mapping of recommended IBAs with connectivity due to currents;;;maps and boxplots comparing chl a persistence variables in different areas,NI,"Recommends areas not currently encapsulated in IBAs/reserve network design. With our integrated approach to prioritization of marineareas for conservation, we identified 20 different priority areas","Important point: our proposed reservenetwork could be meaningless outside of the breedingseason, when individuals are no longer linked to theirbreeding sites and disperse over broader regions",,An adaptive method for identifying marine areas of high conservation priority,Conserv. Biol.,"Afan, Isabel; Gimenez, Joan; Forero, Manuela G.; Ramirez, Francisco"
8566743,Mesoscale fronts as foraging habitats: composite front mapping reveals oceanographic drivers of habitat use for a pelagic seabird,hannah.1.wood,,TRUE, WOS,,,,,2014,UK,Grassholm,UK,"51d43,N, 05d28'W",2,2011,1,,Morus  bassanus,,66,1,,Foraging Location/Distribution,,Satellite tag/GPS tag,,NI,1-2 min, Satellite,,NI,NI,MODIS (Chl a);;;NI (SST),advanced very-high resolution radiometer (AVHRR) (SST);;;NI (Chl a),SST;;;Chl a,Composite thermal front map (SST);;;Frontal density (SST);;;Distance to closest thermal front (SST);;;Distance to closest Chl a front;;;Frontal density (Chl a);;;Composite thermal front map (Chl a);;;(thermal front frequency) Annual Seasonal thermal front climatologies (persistent/frequent thermal fronts);;;(chl a front frequency) Seasonal chl-a(median) composites;;;distance to the colony,,7 (SST),1100,Thermal fronts were detected in each scene using SIED;;;R, Not Included,NI,Calculated and investigated seasonally persistent thermal and Chl a frontal zones over the period of a year,"Using generalized additive models (GAMs), with generalizedestimating equations (GEE-GAMs) to account for serial autocorrelation intracking data, we found that gannets do not adjust their behaviour in responseto contemporaneous fronts. However, ARS was more likely to occur withinspatially predictable, seasonally persistent frontal zones (GAMs);;;heckedfor multi-collinearity using generalized variance inflation factors(GVIFs) and pairwise plots;;;To account for strong intra-individual temporal autocorrela-tion, we used generalized estimating equations (GEEs [54]), witheach daylight movement bout as the blocking variable;;;We constructed generalized additive models (GAMs)with GEEs (GEE-GAMs) with a binomial error structure and logis-tic (‘logit’) link function (‘geepack’ and ’splines’ R packages [57]).Quasi-likelihood under the model independence criterion (QIC[58]) was used to select between a working independence corre-lation structure and an autoregressive, AR1, correlation structure.;;;An approximated version of the QIC (QICu [58]) was used toselect the most parsimonious set of explanatory variables froma prioricandidate models. In order to ascertain the most appro-priate form of each explanatory covariate, we compared theQICu of models with each term in its linear form, and as aB-spline with 4 d.f. and a knot positioned at the mean. QICucan be over-conservative [59], so we used repeated Wald’s teststo determine the significance of retained explanatory covariates;;;Second, we tested the influence of seasonally persistent thermaland chl-afrontal zones (figure 4) on gannet foraging habitat prefer-ence. As no intra-individual temporal autocorrelation existed inthis time-aggregated dataset, we used a binomial GAM with alogistic (‘logit’) link function to model presence/absence of ARSagainst front frequency for the 2011 breeding season (‘mgcv’ Rpackage [61]",NI,NI,mention finer scale SRS data might be useful.,,Mesoscale fronts as foraging habitats: composite front mapping reveals oceanographic drivers of habitat use for a pelagic seabird,J. R. Soc. Interface,"Scales, Kylie L.; Miller, Peter I.; Embling, Clare B.; Ingram, Simon N.; Pirotta, Enrico; Votier, Stephen C."
8566744,Assimilation of the seabird and ship drift data in the north-eastern sea of Japan into an operational ocean nowcast/forecast system,hannah.1.wood,,FALSE, WOS,Title/Abstract, Not about use of satellite remote sensing for studying seabird ecology,,Using seabirds to forecast ocean currents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of the seabird and ship drift data in the north-eastern sea of Japan into an operational ocean nowcast/forecast system,Sci Rep,"Miyazawa, Yasumasa; Guo, Xinyu; Varlamov, Sergey M.; Miyama, Toru; Yoda, Ken; Sato, Katsufumi; Kano, Toshiyuki; Sato, Keiji"
8566745,Impact of icebergs on net primary productivity in the Southern Ocean,hannah.1.wood,,FALSE, WOS,Title/Abstract, Not about seabird ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impact of icebergs on net primary productivity in the Southern Ocean,Cryosphere,"Wu, Shuang-Ye; Hou, Shugui"
8566746,Turbid wakes associated with offshore wind turbines observed with Landsat 8,hannah.1.wood,,FALSE, WOS,Title/Abstract, Not about seabird ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turbid wakes associated with offshore wind turbines observed with Landsat 8,Remote Sens. Environ.,"Vanhellemont, Quinten; Ruddick, Kevin"
